City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,kalkaman,51.9525,76.0211,23.13,41,41,11,KZ,1686087655
1,nagqu,31.5,92.0,4.48,63,63,100,CN,1686087655
2,sitka,57.0531,-135.33,11.94,76,76,75,US,1686087078
3,bilibino,68.0546,166.4372,11.94,51,51,97,RU,1686087655
4,udachny,66.4167,112.4,3.03,69,69,6,RU,1686087655
5,port-aux-francais,-49.35,70.2167,1.96,90,90,100,TF,1686087655
6,blackmans bay,-43.0167,147.3167,10.41,93,93,10,AU,1686087655
7,romans-sur-isere,45.0464,5.0562,19.96,74,74,82,FR,1686087656
8,flying fish cove,-10.4217,105.6791,24.82,83,83,100,CX,1686087656
9,bamboo flat,11.7,92.7167,25.05,94,94,100,IN,1686087656
10,georgetown,5.4112,100.3354,27.96,87,87,20,MY,1686087656
11,jumelles,47.4351,-0.1037,21.1,65,65,87,FR,1686087656
12,maralal,1.0968,36.698,14.35,82,82,91,KE,1686087656
13,lincoln city,44.9582,-124.0179,31.04,55,55,1,US,1686087561
14,neijiang,29.5835,105.0622,22.12,75,75,99,CN,1686087656
15,longyearbyen,78.2186,15.6401,3.91,70,70,20,SJ,1686087656
16,bethel,41.3712,-73.414,21.61,60,60,0,US,1686087657
17,qarqaraly,49.4058,75.4742,15.57,51,51,2,KZ,1686087657
18,puerto natales,-51.7236,-72.4875,3.42,85,85,38,CL,1686087657
19,nizhnesortymskiy,62.4397,71.7603,14.92,47,47,30,RU,1686087657
20,whitehorse,60.7161,-135.0538,12.23,76,76,75,CA,1686087657
21,san patricio,28.017,-97.5169,32.05,45,45,26,US,1686087657
22,malango,-2.9627,119.9001,18.29,97,97,26,ID,1686087657
23,albany,42.6001,-73.9662,19.13,60,60,64,US,1686087526
24,puerto ayora,-0.7393,-90.3518,28.98,96,96,74,EC,1686087657
25,dudinka,69.4058,86.1778,7.57,61,61,7,RU,1686087658
26,bredasdorp,-34.5322,20.0403,9.49,73,73,56,ZA,1686087658
27,ongjin,37.9347,125.3619,17.68,91,91,100,KP,1686087658
28,constantia,44.1833,28.65,13.38,67,67,93,RO,1686087658
29,adamstown,-25.066,-130.1015,21.27,56,56,74,PN,1686087658
30,iqaluit,63.7506,-68.5145,4.85,75,75,100,CA,1686087658
31,waitangi,-43.9535,-176.5597,11.01,95,95,100,NZ,1686087658
32,cobija,-11.0267,-68.7692,30.1,74,74,75,BO,1686087658
33,saint-francois,46.4154,3.9054,16.69,77,77,0,FR,1686087659
34,st. john's,47.5649,-52.7093,10.31,98,98,100,CA,1686087585
35,paso de los toros,-32.8167,-56.5167,19.18,79,79,63,UY,1686087659
36,conceicao da barra,-18.5933,-39.7322,20.78,72,72,82,BR,1686087607
37,anadyr,64.75,177.4833,10.28,66,66,0,RU,1686087659
38,nemuro,43.3236,145.575,11.38,96,96,99,JP,1686087659
39,grytviken,-54.2811,-36.5092,2.72,95,95,88,GS,1686087659
40,vanino,49.0869,140.2543,12.41,76,76,60,RU,1686087659
41,yellowknife,62.456,-114.3525,11.29,93,93,100,CA,1686087660
42,kirensk,57.7853,108.1119,6.94,69,69,80,RU,1686087660
43,mwinilunga,-11.7358,24.4293,15.56,52,52,72,ZM,1686087660
44,volokolamsk,56.0336,35.9694,11.45,70,70,54,RU,1686087646
45,horta,38.5333,-28.6333,18.8,78,78,40,PT,1686087660
46,wotho,10.1657,166.0102,27.87,81,81,100,MH,1686087660
47,kili,5.6439,169.1211,25.54,86,86,100,MH,1686087660
48,ilulissat,69.2167,-51.1,0.01,86,86,75,GL,1686087660
49,margaret river,-33.95,115.0667,12.35,65,65,95,AU,1686087660
50,ushuaia,-54.8,-68.3,4.81,87,87,40,AR,1686087661
51,nieuw amsterdam,5.8833,-55.0833,26.01,93,93,75,SR,1686087661
52,usinsk,65.9939,57.5281,5.29,89,89,55,RU,1686087661
53,punta arenas,-53.15,-70.9167,5.06,81,81,40,CL,1686087484
54,miranda,3.2499,-76.2281,27.07,84,84,88,CO,1686087661
55,petropavlovsk-kamchatsky,53.0452,158.6483,12.33,44,44,20,RU,1686087661
56,port mathurin,-19.6833,63.4167,24.96,66,66,16,MU,1686087661
57,gutierrez zamora,20.45,-97.0833,33.9,59,59,30,MX,1686087661
58,invercargill,-46.4,168.35,3.59,84,84,45,NZ,1686087662
59,cabo san lucas,22.8909,-109.9124,33.61,27,27,0,MX,1686087559
